hotkey,uid,is_validator,tv,age_blocks,blocks_since_update,invocation_count,compute_seconds,chute_diversity,avg_tps,avg_ttft,pass_rate,seconds_per_invocation,efficiency_tier,invocation_share,compute_share,weight_share,emission_share,dividends_share,stake_pct,emission_trend,invocation_trend,quality_score,delta_inv_emit,delta_inv_weight,delta_quality_weight,delta_quality_emit
5CwXCdbJy1D4MZVA3cNQzqJAxA8FRcg9TdGshPdAKRjkDJv4,134,False,0.0,160191,3183495,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5GRbxcRk3x7DqTsyi9ucGVsF43hrSLM7CXmiSWjr7UeKCdXc,159,True,0.9517052173614502,620010,154,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.044162979778485295,0.04934489550414495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5FLNuUCCHhRJyJsGQh7tDMDwyLWEBzmzX85v65KmtiQN8RHi,183,False,0.0,358773,3141217,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5D874e4ZpGxXBzw1RLPY2sLmCBnU9nxQjfAtDYcCRGYWDmBt,160,False,0.0,143073,3149754,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,3.963641857393194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5ED8ahWxXn6NTZ2Ys3TZ8Ej7SuoWMj9y7fHsuqLjJsjTvJv6,184,False,0.0,193642,3141213,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5Hajd4jHpN6ds5QqAu9ukQwXdWzuctz6DCUDG5gce56ws9mi,87,False,0.0,279231,3236045,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5FXCy2cawSTHQegKeaRxPFr5UFPF2MzydaRGNsMoeJQHdhwU,222,False,0.0,53467,3089895,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5Ek5RajKWP9i3jf4t57Zg5AgNCNn7qF3zMSndTsqMdXFh1rc,105,False,0.0,79935,3186912,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5FNo2V8x8veRddGgCNAC5Qj32kwU45awZLaH8VkkZPimtJpw,208,False,0.0,464427,3093857,0,0.0,0,0.0,0.0,,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5CXtLcdfx14eBZbZvpqXjPPrknw2rgwwGBnHZcZJr34wJdfu,254,False,0.0,704533,3083046,103773,840960.43,7,18.85808098527038,10.78280915171436,,8.103846183496671,SLOW,0.0032839556962025317,0.004358465624907046,0.023932863778458716,0.02431578475465703,0.0,0.00027124540747155236,0.000841,-0.00095,0.00454111296893655,0.0210318290584545,0.020648908082256185,0.019391750809522167,0.019774671785720482
