combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust
1,1,4,12,91,Bitstarter #1,2026-06-11,8384445,0.020585856,0.01852998905815184,0.11094809259715818,IN BAND,False,False,0.010292834,4371.425055892,680968.107800639,1.0,212365.480739033,54480.943421742,0.002557806,-13674.47946859515,DISTRIBUTING_PRE_EMA,0.5777618632572582,,0.12425065054375199,0.12425065054375199,6.187814592758807,24.012830058150698,1.3498684599320911,30.200644650909503,7.537683052690898,6.187814592758807,3.859211569375546,,,,,,,0.0,0.006419426997852569,-0.6881632224643673,5HEe7NjS...,114863.59375,0.03066920641577757,,,True,7633645,1.0,,,,,,,
2,2,6,16,96,Verathos,2026-06-11,8384445,0.016539399,0.016631064703688025,-0.0055117158955973735,IN BAND,False,False,0.008269665,1915.236671871,327759.961461714,1.0,115800.854334923,26455.144021403,0.001643582,5898.973352447123,,-0.10109804406286693,,0.09937374387062069,0.09937374387062069,11.347255375373159,-0.9264651181052835,-0.06705921006310138,4.524499657458742,5.383905565500924,5.450964775564025,8.018062939353193,5.8962905998091335,1,0.0,,0.0,0.0,0.0005187892820686102,0.005843412549017891,-0.6466974072626284,5CGq1JQh...,796010.0625,0.10954462529339298,,,True,7692872,0.8547808453786183,,,,,,,
3,3,24,20,47,EvolAI,2026-06-11,8384445,0.005204283,0.004955177893862128,0.05027167772249559,IN BAND,False,False,0.002602133,1666.544485392,968221.063871122,1.0,320220.550097039,26613.801009252,0.000445351,-17647.49699997058,DISTRIBUTING_PRE_EMA,1.9455015641844748,,0.0855739397722991,0.0855739397722991,4.1033441254893885,2.462709334725417,0.6116387456236964,6.566053460214805,4.714982871113085,4.1033441254893885,2.7142561735775335,,,,,,,0.0001525606494396925,0.0017212437815893567,-0.6692639924482668,5DDKR8DV...,5068.31103515625,0.020497549734146196,,,False,7340355,0.9748187715132494,,,,,,,
4,4,29,33,87,unknown,2026-06-11,8384445,0.003631607,0.0035520410165190697,0.02240007452360537,IN BAND,False,False,0.001815802,1452.323746518,1065866.317789902,1.0,400049.568404861,31289.506157378,0.000173174,-6889.181039719435,DISTRIBUTING_PRE_EMA,1.1780701313075415,,0.0476852258518061,0.0476852258518061,3.2857189503654904,1.9386104754974227,0.27253424003719867,5.224329425862913,3.5582531904026893,3.2857189503654904,2.4656000064334687,,,,,,,0.0,0.0013625758899384552,-0.6248008416278371,5HdgsLyv...,684896.4375,0.26495046743236805,BUYBACK_GAMING,,False,7208725,1.0,,,,,,,
5,5,28,31,31,Recall,2026-06-11,8384445,0.00437015,0.004354704869911075,0.0035467685067806878,IN BAND,False,False,0.001836275,1744.447988181,1124311.912372046,1.0,399218.600891835,24342.232783502,0.000273473,-964.2254064741428,DISTRIBUTING_PRE_EMA,0.20855484994321216,,0.06257748589865336,0.06257748589865336,2.766336819839476,-5.081426270733041,0.0431523501658317,-2.3150894508935647,2.8094891700053077,2.766336819839476,2.337429650154208,,,,,,,0.0,0.0015515694256948733,-0.6449619748304123,5H3mfhC8...,637990.6875,0.1692377304820119,,,False,7173591,1.0,,,,,,,
6,11,27,17,117,Unknown,2026-06-11,8384445,0.003957454,0.003661522176116705,0.08082207607906694,IN BAND,False,False,0.001978718,3405.771951895,1449711.540363599,1.0,860720.463866336,129206.227942788,0.000389873,-41214.97272788547,DISTRIBUTING_PRE_EMA,4.484306575866445,,0.09851611667501378,0.09851611667501378,1.5268406039654645,6.342983186548914,0.983335258961981,7.869823790514379,2.5101758629274453,1.5268406039654645,1.8127744222418736,,,,,,,0.0,0.0023492756021248236,-0.40636692122641893,5D9j5tWv...,1902508.85546875,0.7507233769205764,BUYBACK_GAMING,,False,5710859,0.0,,,,,,,
7,8,13,4,18,Zeus,2026-06-11,8384445,0.00937474,0.009226828813552856,0.016030554964874086,IN BAND,False,False,0.00468736,15004.234696533,3372165.269514373,1.0,1598724.296034829,792145.785529008,0.003080473,21880.581884690328,,-0.20487014529025016,,0.3285928996430834,0.3285928996430834,0.8209936947231561,11.455927540456127,0.19503841873930136,13.668358549550135,2.407469427833308,2.212431009094007,0.7793212342698908,-1.391437314370851,1,0.0,,1546.660287341103,0.0,0.00019834982231259346,0.004449436340554496,-0.5253802942210134,5DHwWLjt...,2166790.5,,,,False,1604679,0.7480846107398152,,,,,,,
8,10,25,6,101,eni,2026-06-11,8384445,0.004932545,0.0046729776076972485,0.05554646610657765,IN BAND,False,False,0.002466251,3933.012921145,1922558.701641882,1.0,796867.631077296,139127.591963652,0.000929352,-70628.84420091927,DISTRIBUTING_PRE_EMA,5.52337065244095,,0.1884122699336752,0.1884122699336752,1.6479243160261796,8.593059501013046,0.6758153376300281,10.240983817039226,2.3237396536562076,1.6479243160261796,1.3669283532178576,,,,,,,0.0,0.0020457179891496535,-0.5852611604861885,5H8dNvi1...,558325.5625,0.2109857826076956,BUYBACK_GAMING,,False,5481350,1.0,,,,,,,
9,6,30,27,36,Eirel,2026-06-11,8384445,0.005897156,0.0061070891097188,-0.034375314646172925,IN BAND,False,False,0.001631695,1318.159795094,436584.674356452,1.0,223511.724348993,22274.643875592,0.000455935,9441.084995066165,,-0.1832415244748981,,0.07731438679933174,0.07731438679933174,3.253091526505108,-5.449416638391603,-0.41823299486177057,-3.052371402330392,1.9788122411994404,2.397045236061211,6.0194508748476006,0.8560462904438969,1,0.0,,0.0,0.0,0.0,0.003019253474797379,-0.48801532894883926,5GLGTwG6...,783267.9375,,,,True,7894898,0.0,,,,,,,
10,7,21,21,78,Vocence,2026-06-11,8384445,0.006808919,0.00696855247952044,-0.022907695678489836,IN BAND,False,False,0.003334674,1227.456418541,372260.550901125,1.0,180261.756045845,42582.027155229,0.000580778,5771.865712086001,,-0.04838696463594665,,0.08529665281669528,0.08529665281669528,7.139579979887716,-11.91109493660118,-0.27871029742162634,-9.686730194027025,1.9456544451525284,2.2243647425741546,7.059571565234198,4.915215237313562,1,0.0,,9.124771129960209,0.0,0.0,0.0032973045775860923,-0.5157374353276795,5FnQCJW2...,880509.3125,2.027098206773253,BUYBACK_GAMING,,True,7966145,0.0,,,,,,,
11,9,23,29,26,Perturb,2026-06-11,8384445,0.009276582,0.009466058574616909,-0.020016416877557393,IN BAND,False,False,0.002926094,3090.537804472,510261.019518499,1.0,333142.173819935,42938.265493364,0.000632973,9673.395152190642,,-0.2079243479174905,,0.06823342907980547,0.06823342907980547,2.4881672765409686,-2.098458299002456,-0.2435330720102816,-0.22587798564432515,1.6290472413478494,1.872580313358131,5.150305234916587,0.6155869631828377,1,0.0,,0.0,0.0,4.5787543058395386e-05,0.006056778170882708,-0.34708945914748474,5FsVAEPM...,1415068.375,,,,True,8123781,0.9500244138764998,,,,,,,
12,13,31,30,49,Nepher Robotics,2026-06-11,8384445,0.005264462,0.005284011596813798,-0.003699764176442386,IN BAND,False,False,0.0013658,2483.530298575,1516802.443787961,1.0,462355.427266596,66997.225640961,0.000332774,8973.318993838155,,-0.2770151951646614,,0.06321139747993242,0.06321139747993242,1.4452500950197713,7.006671499525179,-0.04501379748004902,8.449220761321797,1.397535464316569,1.442549261796618,1.732592145248005,0.0027008332231532686,1,0.0,,359.09261173976665,0.0,1.5284866094589233e-05,0.0016373459238190554,-0.6889813386782818,5FL781vf...,1112244.9890136719,,,,False,6783158,0.990005187657792,,,,,,,
13,15,10,8,46,Zipcode,2026-06-11,8384445,0.011770568,0.011463217670097947,0.026811872438205833,IN BAND,False,False,0.005885282,15218.136387013,3761854.840240365,1.0,1262871.410856507,1258545.529395272,0.00178667,-22352.01446528593,DISTRIBUTING_PRE_EMA,0.884728662871899,,0.15179131542335084,0.15179131542335084,1.0163216245846614,3.185933757606081,0.3262111146648376,4.202255382190742,1.342532739249499,1.0163216245846614,0.6985915490115199,,,,,,,0.0,0.004045381077500756,-0.6563138603421045,5Ft9E2ov...,1416056.5,0.05533827441423289,,,False,3919107,1.0,,,,,,,
14,12,22,22,57,gaia,2026-06-11,8384445,0.007169643,0.007311762077733874,-0.019437048993519942,IN BAND,False,False,0.003201023,1884.397292771,434947.934293352,1.0,262818.602496959,14895.330218926,0.00059349,7306.644789354003,,-0.09940956083526425,,0.08277818016880338,0.08277818016880338,4.464179860728709,-1.5198805160498643,-0.23648409608782595,-0.06158791619986337,1.2218085037621749,1.458292599850001,6.042102497324512,3.0058872608787084,1,0.0,,0.0,0.0,0.0,0.004332466357915985,-0.395720769093247,5HdpnCSY...,776119.9375,,,,True,8057320,1.0,,,,,,,
