combined_apy_rank,real_apy_rank,emission_rank,epr_rank,netuid,name,date,block,spot_price,moving_price,momentum_30d,ema_band,ema_lag_flag,low_emission,tao_emission,tao_reserves,alpha_outstanding,alpha_out_emission,alpha_in_pool,volume,ema_tao_inflow,pool_growth_real,pool_ema_divergence,flow_momentum,flow_price_divergence,emission_price_ratio,emission_price_ratio_raw,emission_apy,price_apy_7d,price_apy_30d,combined_apy_7d,combined_apy_30d,real_apy,gross_emission_rate,net_supply_delta,supply_days_gap,supply_defence,supply_defence_quality,burned_tokens,manual_burn,miner_burn_rate,liquidation_price,liquidation_haircut,owner_coldkey,owner_stake,owner_inflow_pct,owner_inflow_flag,large_entry_anomaly,immune,registered_at,vali_miner_share,best_validator_uid,best_validator_hotkey,best_validator_take,best_validator_raw_apy,best_validator_apy,best_validator_div_pct,best_validator_trust,burned_source,alpha_burned_cum,alpha_recycled_cum,recycled_tokens,recon_flag,recon_gap_relative,burn_coverage,owner_cut_emission,total_locked_alpha,locked_float_ratio,owner_locked_alpha,owner_lock_ratio,community_locked_alpha,commitment_class,gate_eligible,leader_is_owner,leader_pct_of_threshold,leader_blocks_to_threshold,governance_flag,basket_alpha,basket_share,ema_halving_days
1,1,64,15,106,Nodexo,2026-09-23,9131577,0.002316259,0.0023967826273292303,-0.03359654997956939,IN BAND,False,True,4.013e-05,5863.042391575,2372082.343582738,1.0,2531254.876062202,363752.260492748,-0.0008091572467977437,108251.7137154038,ACCUMULATING_PRE_EMA,0.0,,,,0.0179875281392379,-3.897886849337234,-0.40875802475142753,11.020807026180552,14.50993585076636,14.918693875517787,1.107887340888314,-14.900706347378549,1,0.0,,0.0,0.0,9.15541313801782e-05,0.0024716858617646453,0.06710253981296783,5CTdHCps...,956348.576131544,,,,False,5558480,0.34619786659341667,31,5E4vCZrj...,0.0,0.450648458878592,0.450648458878592,0.02478367695759,,COUNTER,838637.534343767,0.0,0.0,OK,1.0,0.0,1295.967040512703,328994.679810891,0.13869446003884717,328994.679810891,0.13869446003884717,0.0,DORMITORY,True,True,1.3869446003884756,0,,13094.615955561998,0.005520304128980697,30.0
2,2,67,16,98,NeverPlayAlone,2026-09-23,9131577,0.002226999,0.0023659539874643087,-0.058731060790084375,IN BAND,False,True,3.814e-05,4641.52464604,2808039.122670124,1.0,2084205.835871337,207460.53836756,-0.001032365332540136,107337.1324718201,ACCUMULATING_PRE_EMA,0.0,,,,0.021594611177065414,-6.390698132820492,-0.7145612396126931,6.187817911336462,11.86395480454426,12.578516044156954,0.9358843966180473,-12.55692143297989,1,0.0,,0.0,0.0,0.0,0.0016529415878032503,-0.2577717422400053,5EWzZCNs...,1469544.822208806,,,ENTRY_PRE_EMA_PATTERN,False,5445992,1.0,153,5E2LP6En...,0.0,0.4607706439398863,0.4607706439398863,0.23617469327961912,,COUNTER,1255490.393926426,0.181595662,0.0,OK,1.0,0.0,1295.967040512703,428505.853837129,0.15259967369317454,428505.853837129,0.15259967369317454,0.0,DORMITORY,True,True,1.5259967369317455,0,,12949.661563285996,0.0046116385839284,30.0
3,3,79,17,16,kenju,2026-09-23,9131577,0.001157865,0.0012451789807528257,-0.07012163078759688,IN BAND,False,True,2.983e-06,361.922540726,495654.645988781,1.0,312577.423941195,78041.397746434,0.000900611716787907,22850.726109843643,,0.0,,,0.7778210039926132,0.021660225926450106,6.667471453828292,-0.853146507915762,17.8693132301505,10.348695268406447,11.201841776322208,5.302078818927249,-11.180181550395758,1,0.0,,0.0,0.0,0.0,0.0007301909578674504,-0.369364340516856,5FkKY8WJ...,609357.955324115,,,,True,8460646,1.0,1,5E2LP6En...,0.0,0.784188023717399,0.784188023717399,0.44319655745960046,,COUNTER,63578.799840379,0.04568655,0.0,OK,1.0,0.0,1295.967040512703,7333.737256624,0.014796062774704622,0.0,0.0,7333.737256624,NEITHER,False,False,0.12481453573058264,,,48115.10788325399,0.09707385630829549,30.0
4,5,84,18,43,Graphite,2026-09-23,9131577,0.004180514,0.00422263634391129,-0.009975366212159737,IN BAND,False,True,7.58e-07,12634.406315337,3039244.748018486,1.0,3022213.007404617,158568.81848919,-0.0008349041341164327,84100.7717451062,ACCUMULATING_PRE_EMA,0.0,,,,0.00015766660896300818,-3.1279286850288797,-0.12136695558127679,5.883250238315928,8.889811967763531,9.011178923344808,0.864688505824808,-9.011021256735845,1,0.32511227693975725,MINER_BURN_ONLY,2341.36802644399,2341.232892546073,4.57770656900891e-05,0.004157087488124912,-0.005603739605964113,5HjMs5JD...,2839512.019833422,,,ENTRY_PRE_EMA_PATTERN,False,3408582,0.20921076725874388,108,5ERVu5z1...,,8.766137046390703,8.766137046390703,0.0,,COUNTER,957883.716753965,0.0,0.0,DIVERGENT,-0.9863104817216626,1.8065528052471518,1295.967040512703,3451.069241962,0.0011355022474619767,3451.069241962,0.0011355022474619767,0.0,EXPOSED,True,True,0.011355022474619766,,UNDEFENDED_BURNER,10777.271580258,0.003546036095738759,30.0
5,4,73,19,103,Capcomp,2026-09-23,9131577,0.001430918,0.0015671991277486086,-0.08695839943733634,IN BAND,False,True,7.462e-06,362.941278867,234233.613070366,1.0,253642.206826497,36644.297784841,,13230.894278754597,,,,,,0.05403115363790335,-18.10252507230437,-1.0579938598209253,-8.898809591384602,8.145721621098843,9.203715480919769,11.21956821462052,-9.149684327281866,1,0.0,,0.0,0.0,0.0,0.0015494841842275172,0.08286022275736081,5H3SQ4du...,1071972.137515351,,,,True,8762380,0.0,1,5E2LP6En...,0.0,0.9508755658985534,0.9508755658985534,0.036149726092197826,,COUNTER,60139.256694016,0.014698804,0.0,OK,1.0,0.0,1295.967040512703,0.0,0.0,0.0,0.0,0.0,NEITHER,False,,,,,66200.91398164102,0.2826277284198047,30.0
6,6,33,2,61,RedTeam,2026-09-23,9131577,0.008883246,0.009563483064994216,-0.07112858990508687,IN BAND,False,False,0.001224359,12358.385758173,4750166.355932858,1.0,1391201.517212797,805722.372264196,0.001606769924520486,87861.06617250014,,0.0,,0.18087644139546358,0.18087644139546358,0.26035887817080694,-23.771358361614915,-0.8653978438452236,-17.469599648564213,5.436360869205477,6.301758713050701,0.5532437820241144,-6.041399834879893,1,0.0,,0.0,0.0,0.000869764248111693,0.002601674306150907,-0.7071257166410897,5ECEsYL8...,,,,,False,4457976,0.0034057240599896232,69,5HbLhpEA...,,2.148815818800218,2.148815818800218,0.0,,COUNTER,808370.14496251,0.0,0.0,DIVERGENT,1.0,0.0,1295.967040512703,1021287.884224886,0.21500044581582262,1021287.884224886,0.21500044581582262,0.0,DORMITORY,True,True,2.150004458158226,0,,29372.956106085,0.006183563670227842,30.0
7,7,1,20,90,KubeTEE,2026-09-23,9131577,0.023004045,0.022894767113029957,0.004773050821200591,IN BAND,False,False,0.013364304,2760.564519493,346127.718899746,1.0,120003.442558028,88059.97876765,,3887.0349269950966,,,,,,12.722539416847367,-16.660306645148793,0.05807211832460719,-11.662463694644542,5.055915068828859,4.997842950504252,7.592573077804224,7.724696466343115,1,0.0,,0.0,0.0,1.5259021896696368e-05,0.007975566153060923,-0.6532972286803941,5C9y6fnL...,438165.402331633,0.36934789399581436,BUYBACK_GAMING,,True,8618670,0.11981566820276501,0,5EKtGWqs...,0.179995422293431,1.2357827827261303,1.013347538886389,0.3827348888312401,,COUNTER,0.0,115129.139740838,379.3035938630055,OK,-0.15013131135681787,0.0,1295.967040512703,78136.760684977,0.22574545873804713,78136.760684977,0.22574545873804713,0.0,DORMITORY,False,True,2.2574545873804714,0,,58726.89405068699,0.16966827804882312,30.0
8,8,74,21,13,Data Universe,2026-09-23,9131577,0.005122807,0.005184392211958766,-0.011878964677230278,IN BAND,False,True,6.994e-06,19123.886252315,2373108.683170819,1.0,3733087.153595707,970984.505315143,-0.0029832593986156373,39068.529333661776,ACCUMULATING_PRE_EMA,0.0,,,,0.0009611138529845116,-4.186926699740726,-0.14452740357296837,0.654558181622539,4.696957477790297,4.841484881363265,1.107408193580333,-4.840523767510281,1,0.2872898134622465,MINER_BURN_ONLY,2078.923356389045,2071.3108134730455,0.002578774700541797,0.008058580033832542,0.5730789845942941,5HBswBt1...,3145.215821049,,,,False,1907637,0.704402900590521,247,5E2LP6En...,0.0,0.4201654269582733,0.4201654269582733,0.16036929650541737,,COUNTER,680926.471623986,0.0,0.0,DIVERGENT,-0.9829263942411053,1.5982742992087247,1295.967040512703,93697.039216446,0.03948282684265986,93697.039216446,0.03948282684265986,0.0,FORTRESS,True,True,0.39482826842659857,,,11118.130654862996,0.004685049080856909,30.0
9,9,71,22,82,Compelle,2026-09-23,9131577,0.001945895,0.001986708026379347,-0.020543041975687827,IN BAND,False,True,1.9139e-05,1231.813411747,716575.802048049,1.0,633031.763349723,121720.919362351,0.0004909697292762227,16380.54160745861,,0.0,,,0.25231049428474955,0.04083190807986631,-1.3046478146170881,-0.2499403440375352,3.335669216700776,4.390376687280329,4.640317031317864,3.66744173120122,-4.599485123237998,1,0.0,,0.0,0.0,0.0,0.001719027363506202,-0.11658780997628235,5H6h1PUD...,382408.276134644,,,ENTRY_REPEATED,False,8026517,0.0,5,5E2LP6En...,0.0,0.7684969783504569,0.7684969783504569,0.4325957576682436,,COUNTER,51466.221683119,7195.897335065,0.0,OK,1.0,0.0,1295.967040512703,744.314271862,0.0010387097495263885,744.314271862,0.0010387097495263885,0.0,NEITHER,False,True,0.010387097495263885,,,38507.686642260975,0.053738469164325606,30.0
10,10,88,23,20,Witness,2026-09-23,9131577,0.00244121,0.0024878215044736862,-0.018735871681255158,IN BAND,False,True,2.64e-07,6611.763950439,3257718.410015618,1.0,2708396.214747268,288057.271793996,-0.0009316292818717833,48478.15730139613,ACCUMULATING_PRE_EMA,0.0,,,,0.00010493296572602753,-2.6286323321110046,-0.22795310545527106,1.9419260897238169,4.34260531637955,4.570558421834821,0.8066995575554982,-4.570453488869095,1,0.297858920880972,MINER_BURN_ONLY,2144.8616299540736,2144.8165853214346,1.5259021896696368e-05,0.002029568894018468,-0.16862175150090816,5CFVA7aP...,1470168.048920134,,,ENTRY_REPEATED,False,1970929,1.0,240,5ED4s3B3...,0.179995422293431,0.9546743618096722,0.7828373469030285,0.5755467045125059,,COUNTER,1420132.237495543,0.0,0.0,DIVERGENT,-0.9850679888946833,1.6549931582155935,1295.967040512703,535981.226680369,0.1645265671313192,529939.421737523,0.16267195473625434,6041.804942845949,FORTRESS,True,True,1.6267195473625455,0,,10338.973573001002,0.003173685466863735,30.0
